epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2162.31,1.56177,0.62104,0.73432,0.87672,0.61446,0.73423,0.37677,1.4615,0.77155,0.73341,0.0083764,0.0083764,0.0083764
43,2212.34,1.53619,0.60717,0.73499,0.86847,0.58775,0.72147,0.38327,1.42301,0.75529,0.73561,0.0083368,0.0083368,0.0083368
44,2259.68,1.54763,0.61265,0.7414,0.88069,0.60768,0.74019,0.41392,1.34157,0.74598,0.73404,0.0082972,0.0082972,0.0082972
45,2309.05,1.55503,0.62105,0.74102,0.8664,0.5891,0.73233,0.40485,1.35968,0.72512,0.7319,0.0082576,0.0082576,0.0082576
46,2357.24,1.53528,0.60624,0.73507,0.8781,0.61398,0.75314,0.41365,1.36688,0.78193,0.73241,0.008218,0.008218,0.008218
47,2405.92,1.51079,0.59695,0.73236,0.88122,0.58179,0.7107,0.41806,1.24689,0.74565,0.73132,0.0081784,0.0081784,0.0081784
48,2453.4,1.52414,0.59892,0.73355,0.88906,0.59421,0.7286,0.41811,1.29026,0.72846,0.73063,0.0081388,0.0081388,0.0081388
49,2500.03,1.5096,0.59377,0.73791,0.87396,0.59419,0.73864,0.39776,1.401,0.76662,0.73108,0.0080992,0.0080992,0.0080992
50,2548.5,1.51076,0.59503,0.73707,0.86035,0.58267,0.71319,0.39994,1.32034,0.75211,0.73339,0.0080596,0.0080596,0.0080596
51,2594.68,1.51067,0.60358,0.73242,0.88808,0.60931,0.75516,0.41451,1.36539,0.73996,0.73033,0.00802,0.00802,0.00802
52,2643.39,1.49433,0.59035,0.73985,0.88742,0.60145,0.75791,0.42141,1.35493,0.74693,0.73087,0.0079804,0.0079804,0.0079804
53,2689.72,1.48763,0.59766,0.73432,0.89196,0.60312,0.75423,0.43876,1.26015,0.7404,0.73013,0.0079408,0.0079408,0.0079408
54,2735.24,1.48455,0.59457,0.73555,0.88555,0.58655,0.73542,0.42009,1.31519,0.71839,0.73267,0.0079012,0.0079012,0.0079012
55,2783.23,1.46643,0.58227,0.73181,0.89682,0.59342,0.7519,0.41242,1.40934,0.75219,0.73032,0.0078616,0.0078616,0.0078616
56,2829.79,1.47658,0.59388,0.73266,0.87804,0.58641,0.72442,0.41367,1.29521,0.69941,0.7295,0.007822,0.007822,0.007822
57,2877.89,1.49215,0.59624,0.73368,0.8996,0.59598,0.73143,0.42528,1.26286,0.71268,0.72936,0.0077824,0.0077824,0.0077824
58,2926.79,1.448,0.5783,0.73087,0.90184,0.58714,0.73101,0.44886,1.21445,0.67852,0.72913,0.0077428,0.0077428,0.0077428
59,2974.12,1.43917,0.56509,0.73077,0.89425,0.60057,0.74676,0.43881,1.27395,0.73566,0.73055,0.0077032,0.0077032,0.0077032
60,3023.23,1.44885,0.58199,0.73953,0.89143,0.59327,0.73222,0.43707,1.22899,0.72264,0.73016,0.0076636,0.0076636,0.0076636
61,3070.83,1.43606,0.57209,0.73461,0.88777,0.59898,0.75585,0.45294,1.22267,0.68321,0.72999,0.007624,0.007624,0.007624
62,3118.46,1.43497,0.56663,0.7358,0.89553,0.60317,0.74612,0.43069,1.28271,0.71634,0.72983,0.0075844,0.0075844,0.0075844
63,3165.01,1.44099,0.56187,0.73697,0.89562,0.59562,0.75163,0.45828,1.20444,0.65949,0.72829,0.0075448,0.0075448,0.0075448
64,3214.08,1.39818,0.56143,0.72348,0.89314,0.59275,0.74601,0.46509,1.15529,0.68047,0.72979,0.0075052,0.0075052,0.0075052
65,3264.21,1.43114,0.57037,0.74412,0.88454,0.588,0.72928,0.42955,1.25635,0.73208,0.72833,0.0074656,0.0074656,0.0074656
66,3311.96,1.40888,0.56351,0.72948,0.90027,0.58838,0.72205,0.44678,1.13434,0.68021,0.72739,0.007426,0.007426,0.007426
67,3364.72,1.42188,0.57054,0.7361,0.89998,0.59656,0.73972,0.45056,1.19394,0.69547,0.7289,0.0073864,0.0073864,0.0073864
68,3412.29,1.3787,0.55579,0.72206,0.8966,0.60084,0.74075,0.44145,1.23086,0.71092,0.72819,0.0073468,0.0073468,0.0073468
69,3461.85,1.38761,0.54735,0.72897,0.89679,0.59693,0.72718,0.45217,1.17144,0.69471,0.72847,0.0073072,0.0073072,0.0073072
70,3511.11,1.39383,0.55374,0.73063,0.90216,0.59199,0.73831,0.44082,1.2324,0.71804,0.72835,0.0072676,0.0072676,0.0072676
71,3565.58,1.39407,0.55216,0.73367,0.8952,0.59118,0.73673,0.45888,1.15613,0.68801,0.72828,0.007228,0.007228,0.007228
72,3613.71,1.39698,0.562,0.73269,0.90059,0.5949,0.73351,0.44417,1.18566,0.7273,0.72858,0.0071884,0.0071884,0.0071884
73,3662.22,1.37824,0.55766,0.73001,0.89928,0.5994,0.74757,0.45128,1.18896,0.68976,0.72816,0.0071488,0.0071488,0.0071488
74,3711.14,1.38256,0.544,0.73524,0.90702,0.60944,0.77028,0.45877,1.22908,0.74592,0.72816,0.0071092,0.0071092,0.0071092
75,3758.14,1.39099,0.55895,0.73315,0.89757,0.59503,0.73114,0.44731,1.18616,0.69393,0.72852,0.0070696,0.0070696,0.0070696
76,3807.01,1.36443,0.55631,0.72852,0.90328,0.60465,0.7597,0.46096,1.20496,0.72119,0.72877,0.00703,0.00703,0.00703
77,3854.5,1.36325,0.55084,0.73229,0.90331,0.60527,0.75108,0.43195,1.29891,0.72947,0.72842,0.0069904,0.0069904,0.0069904
78,3902.45,1.3614,0.54214,0.73149,0.89675,0.59895,0.73923,0.45624,1.16512,0.68331,0.72745,0.0069508,0.0069508,0.0069508
79,3949.65,1.35697,0.54316,0.73425,0.89676,0.60837,0.76928,0.45951,1.19763,0.71781,0.72796,0.0069112,0.0069112,0.0069112
80,3997.67,1.35829,0.53339,0.73269,0.88899,0.61025,0.74734,0.41205,1.34086,0.78591,0.72907,0.0068716,0.0068716,0.0068716
81,4047.32,1.32928,0.55759,0.72744,0.90591,0.59676,0.7427,0.46026,1.14001,0.68356,0.72729,0.006832,0.006832,0.006832
82,4095.52,1.347,0.54209,0.7305,0.89878,0.60683,0.74882,0.42994,1.25962,0.77121,0.72802,0.0067924,0.0067924,0.0067924
83,4143.04,1.33309,0.54377,0.72923,0.89367,0.59986,0.74213,0.45089,1.2043,0.70947,0.72777,0.0067528,0.0067528,0.0067528
84,4189.14,1.36665,0.55383,0.7358,0.91329,0.60516,0.75581,0.48536,1.11814,0.66804,0.72709,0.0067132,0.0067132,0.0067132
85,4235.57,1.33684,0.53205,0.74105,0.90796,0.60569,0.75561,0.44856,1.22322,0.74986,0.72603,0.0066736,0.0066736,0.0066736
86,4283.61,1.32958,0.54738,0.73643,0.90449,0.59534,0.7365,0.44223,1.22022,0.72826,0.72744,0.006634,0.006634,0.006634
87,4329.38,1.33563,0.54016,0.73536,0.90717,0.59963,0.7478,0.44446,1.22653,0.71346,0.72814,0.0065944,0.0065944,0.0065944
88,4377.05,1.30631,0.52593,0.72361,0.9062,0.6099,0.76201,0.42957,1.29127,0.78043,0.72771,0.0065548,0.0065548,0.0065548
89,4422.92,1.29968,0.51885,0.72643,0.91192,0.61003,0.75512,0.47031,1.1439,0.71799,0.72648,0.0065152,0.0065152,0.0065152
90,4468.46,1.29743,0.52844,0.72943,0.90528,0.6026,0.75232,0.46518,1.1528,0.71797,0.72673,0.0064756,0.0064756,0.0064756
91,4517.48,1.30113,0.52658,0.73134,0.90858,0.60048,0.74681,0.45133,1.21851,0.71408,0.72718,0.006436,0.006436,0.006436
92,4564.98,1.2979,0.51987,0.72752,0.91499,0.60253,0.75376,0.46913,1.18842,0.72362,0.72696,0.0063964,0.0063964,0.0063964
93,4614.99,1.27677,0.5201,0.73004,0.92176,0.60155,0.75435,0.47191,1.18385,0.71761,0.72627,0.0063568,0.0063568,0.0063568
